Food,Quantity,Calories (kcal),Carbohydrate (g),Protein (g),Fat (g)
Soya meat curry, 100g, 84 kcal, 8g, 6g, 4g
Boiled Potatoes, 50g, 44 kcal, 10.3g, 1g, 0.1g
Chicken Curry, 100g, 180 kcal, 0g, 27g, 8g
Chicken Gravy, 50g, 25 kcal, 0g, 3.5g, 1.5g
Vegetable Soup, 100g, 30 kcal, 6g, 1.5g, 0.3g
Egg Yolk, 16g, 52 kcal, 0.55g, 2.5g, 4.2g
Mango Chutney, 100g, 60 kcal, 15g, 0.5g, 0g
Mango Chutney with Sugar, 100g, 200 kcal, 50g, 0.5g, 0g
Boiled Jackfruit Seed, 5g, 13 kcal, 2.5g, 0.6g, 0.1g
Boiled Chickpeas, 100g, 164 kcal, 27g, 9g, 2.6g
Boiled Mung, 100g, 105 kcal, 19g, 7g, 0.4g
Boiled Sweet Potato, 100g, 90 kcal, 20g, 1.6g, 0.1g
Cucumber Flesh, 50g, 6 kcal, 1.5g, 0.3g, 0.05g
Tomato sauce, 25g, 41 kcal, 8.75, 0.37, 0.45
White sugar, 4g, 16 kcal, 4g, 0g, 0g
Coconut Milk 1st 2nd 3rd extractions, 10g, 15 kcal, 1g, 0.2g, 1.4g
Coconut Milk 1st 2nd extractions, 10g, 20 kcal, 1.3g, 0.2g, 1.9g
Coconut Milk 1st extraction, 10g, 30 kcal, 1.5g, 0.3g, 2.7g
Roast Peanut, 50g, 300 kcal, 10g, 13g, 26g
Roast Green Pea, 50g, 190 kcal, 32g, 14g, 4.5g
Roasted Gram, 50g, 200 kcal, 30g, 12g, 2g
Orange, 130g, 62 kcal, 15.4g, 1.2g, 0.2g
Guava, 50g, 37 kcal, 9.2g, 1g, 0.2g
Kurumba, 650g, 75 kcal, 8.9g, 2.2g, 4.1g
Ambun Kesel, 100g, 90 kcal, 23g, 1.3g, 0.3g
Banana, 100g, 90 kcal, 23g, 1g, 0g
Ambul Kesel, 50g, 45 kcal, 11g, 0.5g, 0.1g
Cavendish Banana, 150g, 134 kcal, 34.2g, 1.7g, 0.5g
Raisins, 100g, 299 kcal, 79.2g, 3.1g, 0.5g
Jackfruit, 35g, 33 kcal, 8.2g, 0.6g, 0.2g
Avocado, 50g, 80 kcal, 4.3g, 1g, 7.4g
Watermelon, 100g, 30 kcal, 7.6g, 0.6g, 0.2g
Dodol, 100g, 380 kcal, 75g, 2g, 12g
Mun Kawum, 100g, 450 kcal, 70g, 5g, 18g
Aluwa, 100g, 400 kcal, 85g, 3g, 8g
Helapa, 100g, 440 kcal, 80g, 11g, 17g
Wandu, 50g, 205 kcal, 46g, 2g, 1g
Ada, 80g, 280 kcal, 61g, 5g, 2g
Samaposha Aggala, 100g, 326 kcal, 49g, 9.8g, 10.4g
Cream Bun, 100g, 300 kcal, 40g, 4g, 15g
Kibula Banis, 50g, 175 kcal, 30g, 3g, 4g
Saw Kanji, 300ml, 250 kcal, 50g, 6g, 5g
Lavariya, 100g, 310 kcal, 65g, 4g, 10g
Vegetable Roll, 50g, 120 kcal, 18g, 3g, 4g
Jam Paan, 100g, 300 kcal, 55g, 7g, 8g
Gal Banis, 100g, 400 kcal, 65g, 7g, 13g
Coconut Cake, 50g, 250 kcal, 30g, 3g, 14g
Butter Cake, 50g, 220 kcal, 27g, 2g, 12g
Chocolate Cake, 60g, 250 kcal, 35g, 3g, 12g
Choco bar, 10g, 60 kcal, 6g, 0.5g, 4g
Dark chocolate, 50g, 282 kcal, 29g, 3g, 18g
Chocolate, 20g, 104.4 kcal, 12.9g, 0.6g, 5.5g
Fruit & Nut ice cream, 120ml, 230 kcal, 34g, 3.9g, 9g
Chocolate ice cream, 52g, 154 kcal, 14g, 2.6g, 10g
Wonder choc ice cream, 65ml, 206 kcal, 18g, 2.4g, 14g
Milk cream biscuit, 12g, 56 kcal, 8.5g, 0.6g, 2.5g
Lemon puff, 13g, 59 kcal, 8.7g, 0.7g, 2.3g
Marie biscuit, 4g, 17 kcal, 2.8g, 0.29g, 0.4g
Chocolate Marie biscuit, 4g, 15 kcal, 2.8g, 0.3g, 0.4g
Chocolate Cream Biscuit, 11.5g, 53 kcal, 8g, 1g, 2g
Orange cream biscuit, 11.5g, 54 kcal, 9g, 0.6g, 2g
Gold Marie biscuit, 4g, 17 kcal, 2.8g, 0.29g, 0.4g
Cream cracker biscuit, 8.4g, 37 kcal, 6g, 0.9g, 1.2g
Nice biscuit, 9g, 42 kcal, 6.6g, 0.63g, 1.6g
Hawaiian cookie, 5g, 25.6 kcal, 3.5g, 0.32g, 1.1g
Ginger Finger Biscuit, 4g, 18 kcal, 2.8g, 0.2g, 0.5g
Custard cream biscuit, 12g, 54 kcal, 9g, 0.6g, 2g
Batter Carol biscuit, 5.8g, 26 kcal, 4.2g, 0.4g, 0.75g
Pani Murukku, 10g, 46 kcal, 7.5g, 0.8g, 0.9g
Boondi, 50g, 240 kcal, 38g, 3g, 10g
Jelly Jujub, 4g, 14 kcal, 3.4g, 0g, 0g
Garlic Murukku, 100g, 500 kcal, 55g, 8g, 25g
Murukku, 100g, 550 kcal, 50g, 9g, 38g
Thala Bola, 5g, 26 kcal, 3.2g, 0.6g, 1.6g
Yogurt, 80g, 90 kcal, 10g, 5g, 3g
Kotmale Vanilla milk, 150ml, 124 kcal, 21g, 3.4g, 3g
Necto, 100ml, 30 kcal, 7.3g, 0g, 0g
Quinoa, 80g, 120 kcal, 21g, 4g, 2g
Oats, 80g, 150 kcal, 27g, 5g, 3g
Chicken Breast, 100g, 165 kcal, 0g, 31g, 3.6g
Salmon, 100g, 208 kcal, 0g, 20g, 13g
Tuna, 100g, 132 kcal, 0g, 29g, 0.6g
Whole Milk, 200ml, 130 kcal, 10g, 7g, 7g
Skim Milk, 200ml, 80 kcal, 12g, 8g, 0g
Greek Yogurt, 150g, 100 kcal, 4g, 10g, 5g
Apple, 150g, 80 kcal, 22g, 0g, 0g
Olive Oil, 1 tbsp, 120 kcal, 0g, 0g, 14g
Almonds, 30g, 180 kcal, 6g, 6g, 15g
Walnuts, 30g, 190 kcal, 4g, 4g, 18g
Peanut Butter, 32g, 190 kcal, 7g, 8g, 16g
