name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
Band Assisted Pull-Up,None,beginner,compound,other,lats,abdominals,forearms,middle back,None,None,None,None,None,None,None,Choke the band around the center of the pullup bar. You can use different bands to provide varying levels of assistance.,strength
Band Good Morning,pull,beginner,compound,bands,hamstrings,glutes,lower back,None,None,None,None,None,None,None,None,"Using a 41 inch band, stand on one end, spreading your feet a small amount. Bend at the hips to loop the end of the band behind your neck. This will be your starting position.",powerlifting
Band Good Morning (Pull Through),pull,beginner,compound,bands,hamstrings,glutes,lower back,None,None,None,None,None,None,None,None,"Loop the band around a post. Standing a little ways away, loop the opposite end around the neck. Your hands can help hold the band in position.",powerlifting
Band Hip Adductions,pull,beginner,isolation,bands,adductors,None,None,None,None,None,None,None,None,None,None,Anchor a band around a solid post or other object.,strength
Band Pull Apart,pull,beginner,isolation,bands,shoulders,middle back,traps,None,None,None,None,None,None,None,None,"Begin with your arms extended straight out in front of you, holding the band with both hands.",strength
Band Skull Crusher,push,beginner,isolation,bands,triceps,None,None,None,None,None,None,None,None,None,None,Secure a band to the base of a rack or the bench. Lay on the bench so that the band is lined up with your head.,strength
Barbell Ab Rollout,pull,intermediate,compound,barbell,abdominals,lower back,shoulders,None,None,None,None,None,None,None,None,"For this exercise you will need to get into a pushup position, but instead of having your hands of the floor, you will be grabbing on to an Olympic barbell (loaded with 5-10 lbs on each side) instead. This will be your starting position.",strength
Barbell Ab Rollout - On Knees,pull,expert,compound,barbell,abdominals,lower back,shoulders,None,None,None,None,None,None,None,None,Hold an Olympic barbell loaded with 5-10lbs on each side and kneel on the floor.,strength
Barbell Bench Press - Medium Grip,push,beginner,compound,barbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.",strength
Barbell Curl,pull,beginner,isolation,barbell,biceps,forearms,None,None,None,None,None,None,None,None,None,Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position.,strength
Barbell Curls Lying Against An Incline,pull,beginner,isolation,barbell,biceps,None,None,None,None,None,None,None,None,None,None,"Lie against an incline bench, with your arms holding a barbell and hanging down in a horizontal line. This will be your starting position.",strength
Barbell Deadlift,pull,intermediate,compound,barbell,lower back,calves,forearms,glutes,hamstrings,lats,middle back,quadriceps,traps,None,None,Stand in front of a loaded barbell.,strength
Barbell Full Squat,push,intermediate,compound,barbell,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Barbell Glute Bridge,push,intermediate,compound,barbell,glutes,calves,hamstrings,None,None,None,None,None,None,None,None,"Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor.",powerlifting
Barbell Guillotine Bench Press,push,intermediate,compound,barbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position.",strength
Barbell Hack Squat,push,intermediate,compound,barbell,quadriceps,calves,forearms,hamstrings,None,None,None,None,None,None,None,Stand up straight while holding a barbell behind you at arms length and your feet at shoulder width. Tip: A shoulder width grip is best with the palms of your hands facing back. You can use wrist wraps for this exercise for a better grip. This will be your starting position.,strength
Barbell Hip Thrust,push,intermediate,compound,barbell,glutes,calves,hamstrings,None,None,None,None,None,None,None,None,Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise.,powerlifting
Barbell Incline Bench Press - Medium Grip,push,beginner,compound,barbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Lie back on an incline bench. Using a medium-width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.",strength
Barbell Incline Shoulder Raise,push,beginner,compound,barbell,shoulders,chest,None,None,None,None,None,None,None,None,None,"Lie back on an Incline Bench. Using a medium width grip (a grip that is slightly wider than shoulder width), lift the bar from the rack and hold it straight over you with your arms straight. This will be your starting position.",strength
Barbell Lunge,push,intermediate,compound,barbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Barbell Rear Delt Row,pull,beginner,compound,barbell,shoulders,biceps,lats,middle back,None,None,None,None,None,None,None,Stand up straight while holding a barbell using a wide (higher than shoulder width) and overhand (palms facing your body) grip.,strength
Barbell Rollout from Bench,pull,intermediate,compound,barbell,abdominals,glutes,hamstrings,lats,shoulders,None,None,None,None,None,None,"Place a loaded barbell on the ground, near the end of a bench. Kneel with both legs on the bench, and take a medium to narrow grip on the barbell. This will be your starting position.",strength
Barbell Seated Calf Raise,push,beginner,isolation,barbell,calves,None,None,None,None,None,None,None,None,None,None,Place a block about 12 inches in front of a flat bench.,strength
Barbell Shoulder Press,push,intermediate,compound,barbell,shoulders,chest,triceps,None,None,None,None,None,None,None,None,Sit on a bench with back support in a squat rack. Position a barbell at a height that is just above your head. Grab the barbell with a pronated grip (palms facing forward).,strength
Barbell Shrug,pull,beginner,isolation,barbell,traps,None,None,None,None,None,None,None,None,None,None,Stand up straight with your feet at shoulder width as you hold a barbell with both hands in front of you using a pronated grip (palms facing the thighs). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for a better grip. This will be your starting position.,strength
Barbell Shrug Behind The Back,pull,beginner,isolation,barbell,traps,forearms,middle back,None,None,None,None,None,None,None,None,Stand up straight with your feet at shoulder width as you hold a barbell with both hands behind your back using a pronated grip (palms facing back). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for better grip. This will be your starting position.,strength
Barbell Side Bend,pull,beginner,isolation,barbell,abdominals,lower back,None,None,None,None,None,None,None,None,None,Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be shoulder width apart. This will be your starting position.,strength
Barbell Side Split Squat,push,beginner,compound,barbell,quadriceps,calves,hamstrings,lower back,None,None,None,None,None,None,None,Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be placed wide apart with the foot of the lead leg angled out to the side. This will be your starting position.,strength
Barbell Squat,push,beginner,compound,barbell,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack to just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Barbell Squat To A Bench,push,expert,compound,barbell,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first place a flat bench or a box behind you. The flat bench is used to teach you to set your hips back and to hit depth.",strength
Barbell Step Ups,push,intermediate,compound,barbell,quadriceps,calves,glutes,hamstrings,quadriceps,None,None,None,None,None,None,Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck) and stand upright behind an elevated platform (such as the one used for spotting behind a flat bench). This is your starting position.,strength
Barbell Walking Lunge,push,beginner,compound,barbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Begin standing with your feet shoulder width apart and a barbell across your upper back.,strength
Battling Ropes,push,beginner,compound,other,shoulders,chest,forearms,None,None,None,None,None,None,None,None,"For this exercise you will need a heavy rope anchored at its center 15-20 feet away. Standing in front of the rope, take an end in each hand with your arms extended at your side. This will be your starting position.",strength
Bear Crawl Sled Drags,push,beginner,compound,other,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"Wearing either a harness or a loose weight belt, attach the chain to the back so that you will be facing away from the sled. Bend down so that your hands are on the ground. Your back should be flat and knees bent. This is your starting position.",strongman
Behind Head Chest Stretch,static,expert,isolation,other,chest,shoulders,None,None,None,None,None,None,None,None,None,Sit upright on the floor with your partner behind you.,stretching
Bench Dips,push,beginner,compound,body only,triceps,chest,shoulders,None,None,None,None,None,None,None,None,"For this exercise you will need to place a bench behind your back. With the bench perpendicular to your body, and while looking away from it, hold on to the bench on its edge with the hands fully extended, separated at shoulder width. The legs will be extended forward, bent at the waist and perpendicular to your torso. This will be your starting position.",strength
Bench Jump,push,intermediate,compound,body only,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Begin with a box or bench 1-2 feet in front of you. Stand with your feet shoulder width apart. This will be your starting position.,plyometrics
Bench Press - Powerlifting,push,intermediate,compound,barbell,triceps,chest,forearms,lats,shoulders,None,None,None,None,None,None,"Begin by lying on the bench, getting your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement.",powerlifting
Bench Press - With Bands,push,beginner,compound,bands,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Using a flat bench secure a band under the leg of the bench that is nearest to your head.,strength
Bench Press with Chains,push,expert,compound,barbell,triceps,chest,lats,shoulders,None,None,None,None,None,None,None,"Adjust the leader chain, shortening it to the desired length.Place the chains on the sleeves of the bar.",powerlifting
Bench Sprint,push,beginner,compound,other,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Stand on the ground with one foot resting on a bench or box with your heel close to the edge.,plyometrics
Bent-Arm Barbell Pullover,pull,intermediate,compound,barbell,lats,chest,lats,shoulders,triceps,None,None,None,None,None,None,Lie on a flat bench with a barbell using a shoulder grip width.,strength
Bent-Arm Dumbbell Pullover,push,intermediate,compound,dumbbell,chest,lats,shoulders,triceps,None,None,None,None,None,None,None,Place a dumbbell standing up on a flat bench.,strength
Bent-Knee Hip Raise,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lay flat on the floor with your arms next to your sides.,strength
Bent Over Barbell Row,pull,beginner,compound,barbell,middle back,biceps,lats,shoulders,None,None,None,None,None,None,None,"Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.",strength
Bent Over Dumbbell Rear Delt Raise With Head On Bench,pull,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Stand up straight while holding a dumbbell in each hand and with an incline bench in front of you.,strength
Bent Over Low-Pulley Side Lateral,pull,beginner,isolation,cable,shoulders,lower back,middle back,traps,None,None,None,None,None,None,None,Select a weight and hold the handle of the low pulley with your right hand.,strength
Bent Over One-Arm Long Bar Row,pull,beginner,compound,barbell,middle back,biceps,lats,lower back,traps,None,None,None,None,None,None,Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward.,strength
Bent Over Two-Arm Long Bar Row,pull,intermediate,compound,barbell,middle back,biceps,lats,None,None,None,None,None,None,None,None,Put weight on one of the ends of an Olympic barbell. Make sure that you either place the other end of the barbell in the corner of two walls; or put a heavy object on the ground so the barbell cannot slide backward.,strength
Bent Over Two-Dumbbell Row,pull,beginner,compound,dumbbell,middle back,biceps,lats,shoulders,None,None,None,None,None,None,None,"With a dumbbell in each hand (palms facing your torso), bend your knees slightly and bring your torso forward by bending at the waist; as you bend make sure to keep your back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.",strength
Bent Over Two-Dumbbell Row With Palms In,pull,beginner,compound,dumbbell,middle back,biceps,lats,None,None,None,None,None,None,None,None,"With a dumbbell in each hand (palms facing each other), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The weights should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.",strength
Bent Press,pull,expert,compound,kettlebells,abdominals,glutes,hamstrings,lower back,quadriceps,shoulders,triceps,None,None,None,None,Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulders by extending through the legs and hips as you raise the kettlebell towards your shoulder. The wrist should rotate as you do so. This will be your starting position.,strength
Bicycling,None,beginner,None,other,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,None,cardio
"Bicycling, Stationary",None,beginner,None,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"To begin, seat yourself on the bike and adjust the seat to your height.",cardio
Board Press,push,intermediate,compound,barbell,triceps,chest,forearms,lats,shoulders,None,None,None,None,None,None,"Begin by lying on the bench, getting your head beyond the bar if possible. One to five boards, made out of 2x6's, can be screwed together and held in place by a training partner, bands, or just tucked under your shirt.",powerlifting
Body-Up,push,intermediate,isolation,body only,triceps,abdominals,forearms,None,None,None,None,None,None,None,None,"Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.",strength
Body Tricep Press,push,beginner,isolation,body only,triceps,None,None,None,None,None,None,None,None,None,None,Position a bar in a rack at chest height.,strength
Bodyweight Flyes,push,intermediate,isolation,e-z curl bar,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,Position two equally loaded EZ bars on the ground next to each other. Ensure they are able to roll.,strength
Bodyweight Mid Row,pull,intermediate,compound,other,middle back,biceps,lats,None,None,None,None,None,None,None,None,"Begin by taking a medium to wide grip on a pull-up apparatus with your palms facing away from you. From a hanging position, tuck your knees to your chest, leaning back and getting your legs over your side of the pull-up apparatus. This will be your starting position.",strength
Bodyweight Squat,push,beginner,compound,body only,quadriceps,glutes,hamstrings,None,None,None,None,None,None,None,None,Stand with your feet shoulder width apart. You can place your hands behind your head. This will be your starting position.,strength
Bodyweight Walking Lunge,push,beginner,compound,None,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Begin standing with your feet shoulder width apart and your hands on your hips.,strength
Bosu Ball Cable Crunch With Side Bends,pull,beginner,isolation,cable,abdominals,None,None,None,None,None,None,None,None,None,None,"Connect a standard handle to each arm of a cable machine, and position them in the most downward position.",strength
Bottoms-Up Clean From The Hang Position,pull,intermediate,compound,kettlebells,forearms,biceps,shoulders,None,None,None,None,None,None,None,None,Initiate the exercise by standing upright with a kettlebell in one hand.,strength
Bottoms Up,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Begin by lying on your back on the ground. Your legs should be straight and your arms at your side. This will be your starting position.,strength
Box Jump (Multiple Response),push,beginner,compound,other,hamstrings,abductors,adductors,calves,glutes,quadriceps,None,None,None,None,None,Assume a relaxed stance facing the box or platform approximately an arm's length away. Arms should be down at the sides and legs slightly bent.,plyometrics
Box Skip,push,beginner,compound,other,hamstrings,abductors,adductors,calves,glutes,quadriceps,None,None,None,None,None,You will need several boxes lined up about 8 feet apart.,plyometrics
Box Squat,push,intermediate,compound,barbell,quadriceps,adductors,calves,glutes,hamstrings,lower back,None,None,None,None,None,"The box squat allows you to squat to desired depth and develop explosive strength in the squat movement. Begin in a power rack with a box at the appropriate height behind you. Typically, you would aim for a box height that brings you to a parallel squat, but you can train higher or lower if desired.",powerlifting
Box Squat with Bands,push,expert,compound,barbell,quadriceps,abductors,adductors,calves,glutes,hamstrings,lower back,None,None,None,None,"Begin in a power rack with a box at the appropriate height behind you. Set up the bands on the sleeves, secured to either band pegs, the rack, or dumbbells so that there is appropriate tension. If dumbbells are used, secure them so that they don't move. Also, ensure that the dumbbells you are using are heavy enough for the bands that you are using. Additional plates can be used to hold the dumbbells down. If more tension is needed, you can either widen the base on the floor or choke the bands. Typically, you would aim for a box height that brings you to a parallel squat, but you can train higher or lower if desired.",powerlifting
Box Squat with Chains,push,expert,compound,barbell,quadriceps,abductors,adductors,calves,glutes,hamstrings,lower back,None,None,None,None,"Begin in a power rack with a box at the appropriate height behind you. Typically, you would aim for a box height that brings you to a parallel squat, but you can train higher or lower if desired.",strength
Brachialis-SMR,static,intermediate,None,foam roll,biceps,None,None,None,None,None,None,None,None,None,None,"Lie on your side, with your upper arm against the foam roller. The upper arm should be more or less aligned with your body, with the outside of the bicep pressed against the foam roller.",stretching
Bradford/Rocky Presses,push,beginner,compound,barbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,Sit on a Military Press Bench with a bar at shoulder level with a pronated grip (palms facing forward). Tip: Your grip should be wider than shoulder width and it should create a 90-degree angle between the forearm and the upper arm as the barbell goes down. This is your starting position.,strength
Butt-Ups,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Begin a pushup position but with your elbows on the ground and resting on your forearms. Your arms should be bent at a 90 degree angle.,strength
Butt Lift (Bridge),push,beginner,isolation,body only,glutes,hamstrings,None,None,None,None,None,None,None,None,None,Lie flat on the floor on your back with the hands by your side and your knees bent. Your feet should be placed around shoulder width. This will be your starting position.,strength
Butterfly,pull,beginner,isolation,machine,chest,None,None,None,None,None,None,None,None,None,None,Sit on the machine with your back flat on the pad.,strength
Cable Chest Press,push,beginner,compound,cable,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Adjust the weight to an appropriate amount and be seated, grasping the handles. Your upper arms should be about 45 degrees to the body, with your head and chest up. The elbows should be bent to about 90 degrees. This will be your starting position.",strength
Cable Crossover,push,beginner,isolation,cable,chest,shoulders,None,None,None,None,None,None,None,None,None,"To get yourself into the starting position, place the pulleys on a high position (above your head), select the resistance to be used and hold the pulleys in each hand.",strength
Cable Crunch,pull,beginner,isolation,cable,abdominals,None,None,None,None,None,None,None,None,None,None,Kneel below a high pulley that contains a rope attachment.,strength
Cable Deadlifts,pull,beginner,compound,cable,quadriceps,forearms,glutes,hamstrings,lower back,None,None,None,None,None,None,Move the cables to the bottom of the towers and select an appropriate weight. Stand directly in between the uprights.,strength
Cable Hammer Curls - Rope Attachment,pull,beginner,isolation,cable,biceps,None,None,None,None,None,None,None,None,None,None,Attach a rope attachment to a low pulley and stand facing the machine about 12 inches away from it.,strength
Cable Hip Adduction,pull,beginner,isolation,cable,quadriceps,None,None,None,None,None,None,None,None,None,None,Stand in front of a low pulley facing forward with one leg next to the pulley and the other one away.,strength
Cable Incline Pushdown,pull,beginner,isolation,cable,lats,None,None,None,None,None,None,None,None,None,None,Lie on incline an bench facing away from a high pulley machine that has a straight bar attachment on it.,strength
Cable Incline Triceps Extension,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,Lie on incline an bench facing away from a high pulley machine that has a straight bar attachment on it.,strength
Cable Internal Rotation,pull,beginner,compound,cable,shoulders,None,None,None,None,None,None,None,None,None,None,"Sit next to a low pulley sideways (with legs stretched in front of you or crossed) and grasp the single hand cable attachment with the arm nearest to the cable. Tip: If you can adjust the pulley's height, you can use a flat bench to sit on instead.",strength
Cable Iron Cross,push,beginner,isolation,cable,chest,None,None,None,None,None,None,None,None,None,None,"Begin by moving the pulleys to the high position, select the resistance to be used, and take a handle in each hand.",strength
Cable Judo Flip,pull,beginner,compound,cable,abdominals,None,None,None,None,None,None,None,None,None,None,"Connect a rope attachment to a tower, and move the cable to the lowest pulley position. Stand with your side to the cable with a wide stance, and grab the rope with both hands.",strength
Cable Lying Triceps Extension,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,Lie on a flat bench and grasp the straight bar attachment of a low pulley with a narrow overhand grip. Tip: The easiest way to do this is to have someone hand you the bar as you lay down.,strength
Cable One Arm Tricep Extension,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,"With your right hand, grasp a single handle attached to the high-cable pulley using a supinated (underhand; palms facing up) grip. You should be standing directly in front of the weight stack.",strength
Cable Preacher Curl,pull,beginner,isolation,cable,biceps,forearms,None,None,None,None,None,None,None,None,None,Place a preacher bench about 2 feet in front of a pulley machine.,strength
